Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Bailly G.; Godde E.; Piat-Marchand A.-L.; Bosse M.-L.,"Bailly, Gérard (7003803108); Godde, Erika (57209853199); Piat-Marchand, Anne-Laure (57191528442); Bosse, Marie-Line (8775440100)",7003803108; 57209853199; 57191528442; 8775440100,Automatic assessment of oral readings of young pupils,2022,Speech Communication,138,,,67,79,12,2,10.1016/j.specom.2022.01.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125011276&doi=10.1016%2fj.specom.2022.01.008&partnerID=40&md5=050195c20c1e51f662d393bc712a2be1,"We propose a computational framework for estimating multidimensional subjective ratings of the reading performance of young readers from speech-based objective measures. We combine linguistic features (number of correct words, repetitions, deletions, insertions uttered per minute, etc.) with prosodic features. Expressivity is particularly difficult to predict since there is no unique gold standard. We propose a novel framework for performing such an estimation that exploits multiple references performed by adults and we demonstrate its effectiveness using recordings from a large data set of 1063 oral readings from 442 children (more than 30 h of speech), 84 oral readings from 42 adults and 6853 subjective scores delivered by 29 different human raters. We show that robust and accurate estimations of reading fluency can be achieved using combined features. This automatic assessment tool provides teachers and speech therapists with reliable estimates of the maturation of several reading skills. © 2022 The Authors",Automatic assessment; Children; Fluency; NAEP; Oral readings; Prosody; Speech recognition,Linguistics; Speech; Automatic assessment; Child; Computational framework; Fluency; NAEP; Oral reading; Prosody; Reading performance; Subjective rating; Young readers; Speech recognition,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85125011276
Tomashenko N.; Wang X.; Vincent E.; Patino J.; Srivastava B.M.L.; Noé P.-G.; Nautsch A.; Evans N.; Yamagishi J.; O'Brien B.; Chanclu A.; Bonastre J.-F.; Todisco M.; Maouche M.,"Tomashenko, Natalia (55900552200); Wang, Xin (57196088126); Vincent, Emmanuel (14010158800); Patino, Jose (57196401950); Srivastava, Brij Mohan Lal (57191375068); Noé, Paul-Gauthier (57218454233); Nautsch, Andreas (55489138700); Evans, Nicholas (56207371100); Yamagishi, Junichi (7004695833); O'Brien, Benjamin (57216604021); Chanclu, Anaïs (57271268100); Bonastre, Jean-François (6603934225); Todisco, Massimiliano (24482053500); Maouche, Mohamed (57203225403)",55900552200; 57196088126; 14010158800; 57196401950; 57191375068; 57218454233; 55489138700; 56207371100; 7004695833; 57216604021; 57271268100; 6603934225; 24482053500; 57203225403,The VoicePrivacy 2020 Challenge: Results and findings,2022,Computer Speech and Language,74,,101362,,,,61,10.1016/j.csl.2022.101362,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124461753&doi=10.1016%2fj.csl.2022.101362&partnerID=40&md5=8709587c992c0d69b4413d728092ba9d,"This paper presents the results and analyses stemming from the first VoicePrivacy 2020 Challenge which focuses on developing anonymization solutions for speech technology. We provide a systematic overview of the challenge design with an analysis of submitted systems and evaluation results. In particular, we describe the voice anonymization task and datasets used for system development and evaluation. Also, we present different attack models and the associated objective and subjective evaluation metrics. We introduce two anonymization baselines and provide a summary description of the anonymization systems developed by the challenge participants. We report objective and subjective evaluation results for baseline and submitted systems. In addition, we present experimental results for alternative privacy metrics and attack models developed as a part of the post-evaluation analysis. Finally, we summarize our insights and observations that will influence the design of the next VoicePrivacy challenge edition and some directions for future voice anonymization research. © 2022 Elsevier Ltd",Anonymization; Attack model; Automatic speech recognition; Metrics; Privacy; Speaker verification; Speech synthesis; Utility; Voice conversion,Speech processing; Speech synthesis; Anonymization; Attack modeling; Automatic speech recognition; Evaluation results; Metric; Objective and subjective evaluations; Privacy; Speaker verification; Utility; Voice conversion; Speech recognition,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85124461753
Faisal M.; Alsulaiman M.; Mekhtiche M.; Abdelkader B.M.; Algabri M.; Alrayes T.B.S.; Muhammad G.; Mathkour H.; Abdul W.; Alohali Y.; Al-Hammadi M.; Altaheri H.; Alfakih T.,"Faisal, Mohammed (55354611700); Alsulaiman, Mansour (26667487200); Mekhtiche, Mohamed (56576441500); Abdelkader, Bencherif Mohamed (36056175300); Algabri, Mohammed (56073285900); Alrayes, Tariq Bin Saleh (58217997900); Muhammad, Ghulam (56605566900); Mathkour, Hassan (15925954200); Abdul, Wadood (36098480800); Alohali, Yousef (59157877500); Al-Hammadi, Muneer (55938159200); Altaheri, Hamdi (57192236880); Alfakih, Taha (56576325400)",55354611700; 26667487200; 56576441500; 36056175300; 56073285900; 58217997900; 56605566900; 15925954200; 36098480800; 59157877500; 55938159200; 57192236880; 56576325400,Enabling Two-Way Communication of Deaf Using Saudi Sign Language,2023,IEEE Access,11,,,135423,135434,11,8,10.1109/ACCESS.2023.3337514,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179092501&doi=10.1109%2fACCESS.2023.3337514&partnerID=40&md5=bf652b9cfe4e24caae0c7abd709d509b,"Disabled people are facing many difficulties communicating with others and involving in society. Modern societies have dedicated significant efforts to promote the integration of disabled individuals into their societies and services. Currently, smart healthcare systems are used to facilitate disabled people. The objective of this paper is to enable two-way communication of deaf individuals with the rest of society, thus enabling their migration from marginal elements of society to mainstream contributing elements. In the proposed system, we developed three modules; the sign recognition module (SRM) that recognizes the signs of a deaf individual, the speech recognition and synthesis module (SRSM) that processes the speech of a non-deaf individual and converts it to text, and an Avatar module (AM) to generate and perform the corresponding sign of the non-deaf speech, which were integrated into the sign translation companion system called Saudi deaf companion system (SDCS) to facilitate the communication from the deaf to the hearing and vice versa. This paper also contributes to the literature by utilizing our self-developed database, the largest Saudi Sign Language (SSL) database-the King Saud University Saudi-SSL (KSU-SSL). The proposed SDCS system performs 293 Saudi signs that are recommended by the Saudi Association for Hearing Impairment (SAHI) from 10 domains (healthcare, common, alphabets, verbs, pronouns and adverbs, numbers, days, kings, family, and regions).  © 2013 IEEE.",Avatar; Saudi Sig language; sign language recognition; speech recognition system,Audition; Character recognition; Gesture recognition; Health care; Speech communication; Assistive technology; Auditory systems; Avatar; Gestures recognition; Medical services; Saudi sig language; Sign Language recognition; Speech recognition systems; STEM; Speech recognition,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85179092501
Jain R.; Yiwere M.Y.; Bigioi D.; Corcoran P.; Cucu H.,"Jain, Rishabh (57568296800); Yiwere, Mariam Yahayah (57204890157); Bigioi, Dan (57223669237); Corcoran, Peter (57190839462); Cucu, Horia (36439147500)",57568296800; 57204890157; 57223669237; 57190839462; 36439147500,"A Text-to-Speech Pipeline, Evaluation Methodology, and Initial Fine-Tuning Results for Child Speech Synthesis",2022,IEEE Access,10,,,47628,47642,14,17,10.1109/ACCESS.2022.3170836,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129669097&doi=10.1109%2fACCESS.2022.3170836&partnerID=40&md5=152018617127ee56e5129c6e0c384cfd,"Speech synthesis has come a long way as current text-to-speech (TTS) models can now generate natural human-sounding speech. However, most of the TTS research focuses on using adult speech data and there has been very limited work done on child speech synthesis. This study developed and validated a training pipeline for fine-tuning state-of-the-art (SOTA) neural TTS models using child speech datasets. This approach adopts a multi-speaker TTS retuning workflow to provide a transfer-learning pipeline. A publicly available child speech dataset was cleaned to provide a smaller subset of approximately 19 hours, which formed the basis of our fine-tuning experiments. Both subjective and objective evaluations were performed using a pretrained MOSNet for objective evaluation and a novel subjective framework for mean opinion score (MOS) evaluations. Subjective evaluations achieved the MOS of 3.95 for speech intelligibility, 3.89 for voice naturalness, and 3.96 for voice consistency. Objective evaluation using a pretrained MOSNet showed a strong correlation between real and synthetic child voices. Speaker similarity was also verified by calculating the cosine similarity between the embeddings of utterances. An automatic speech recognition (ASR) model is also used to provide a word error rate (WER) comparison between the real and synthetic child voices. The final trained TTS model was able to synthesize child-like speech from reference audio samples as short as 5 seconds.  © 2013 IEEE.",alternative WaveRNN; child speech synthesis; MOSNet; multi-speaker TTS; subjective MOS; tacotron; Text-to-speech,Hidden Markov models; Personnel training; Pipelines; Speech intelligibility; Speech recognition; Alternative WaveRNN; Annotation; Child speech synthesis; Children's speech; Hidden-Markov models; License; Mean opinion scores; MOSNet; Multi-speaker text-to-speech; Noise measurements; Subjective mean opinion score; Tacotra; Task analysis; Text to speech; Speech synthesis,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85129669097
Ooster J.; Tuschen L.; Meyer B.T.,"Ooster, Jasper (57140713100); Tuschen, Laura (57194096804); Meyer, Bernd T. (57214341543)",57140713100; 57194096804; 57214341543,Self-conducted speech audiometry using automatic speech recognition: Simulation results for listeners with hearing loss,2023,Computer Speech and Language,78,,101447,,,,9,10.1016/j.csl.2022.101447,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137660361&doi=10.1016%2fj.csl.2022.101447&partnerID=40&md5=a1ede6204045ab869014ed042a8dd150,"Speech-in-noise tests are an important tool for assessing hearing impairment, the successful fitting of hearing aids, as well as for research in psychoacoustics. An important drawback of many speech-based tests is the requirement of an expert to be present during the measurement, in order to assess the listener's performance. This drawback may be largely overcome through the use of automatic speech recognition (ASR), which utilizes automatic response logging. However, such an unsupervised system may reduce the accuracy due to the introduction of potential errors. In this study, two different ASR systems are compared for automated testing: A system with a feed-forward deep neural network (DNN) from a previous study (Ooster et al., 2018), as well as a state-of-the-art system utilizing a time-delay neural network (TDNN). The dynamic measurement procedure of the speech intelligibility test was simulated considering the subjects’ hearing loss and selecting from real recordings of test participants. The ASR systems’ performance is investigated based on responses of 73 listeners, ranging from normal-hearing to severely hearing-impaired as well as read speech from cochlear implant listeners. The feed-forward DNN produced accurate testing results for NH and unaided HI listeners but a decreased measurement accuracy was found in the simulation of the adaptive measurement procedure when considering aided severely HI listeners, recorded in noisy environments with a loudspeaker setup. The TDNN system produces error rates of 0.6% and 3.0% for deletion and insertion errors, respectively. We estimate that the SRT deviation with this system is below 1.38 dB for 95% of the users. This result indicates that a robust unsupervised conduction of the matrix sentence test is possible with a similar accuracy as with a human supervisor even when considering noisy conditions and altered or disordered speech from elderly severely HI listeners and listeners with a CI. © 2022",Automatic speech recognition; Matrix sentence test; Speech audiometry; Unsupervised measurement,Cochlear implants; Deep neural networks; Errors; Feedforward neural networks; Psychoacoustic; Speech intelligibility; Speech recognition; Well testing; Automatic speech recognition; Automatic speech recognition system; Feed forward; Hearing loss; matrix; Matrix sentence test; Measurement procedures; Speech audiometry; Time delay neural networks; Unsupervised measurement; Audition,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85137660361
Zhang G.; Qin Y.; Zhang W.; Wu J.; Li M.; Gai Y.; Jiang F.; Lee T.,"Zhang, Guangyan (57209883698); Qin, Ying (57194459041); Zhang, Wenjie (57808468800); Wu, Jialun (57809160100); Li, Mei (57808602100); Gai, Yutao (57808334100); Jiang, Feijun (35198283100); Lee, Tan (7501439194)",57209883698; 57194459041; 57808468800; 57809160100; 57808602100; 57808334100; 35198283100; 7501439194,iEmoTTS: Toward Robust Cross-Speaker Emotion Transfer and Control for Speech Synthesis Based on Disentanglement Between Prosody and Timbre,2023,IEEE/ACM Transactions on Audio Speech and Language Processing,31,,,1693,1705,12,11,10.1109/TASLP.2023.3268571,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153801516&doi=10.1109%2fTASLP.2023.3268571&partnerID=40&md5=a8eba915eed2341ee0a78c2da993d125,"Cross-speaker emotion transfer is a common approach to generating emotional speech when speech data with emotion labels from target speakers is not available. This paper presents a novel cross-speaker emotion transfer system named iEmoTTS. The system is composed of an emotion encoder, a prosody predictor, and a timbre encoder. The emotion encoder extracts the identity of emotion type and the respective emotion intensity from the mel-spectrogram of input speech. The emotion intensity is measured by the posterior probability that the input utterance carries that emotion. Unlike many other studies which focus on disentangling speaker and style factors of speech, the iEmoTTS is designed to achieve cross-speaker emotion transfer via disentanglement between prosody and timbre. Prosody is considered the primary carrier of emotion-related speech characteristics, and timbre accounts for the essential characteristics for speaker identification. Zero-shot emotion transfer, meaning that the speech of target speakers is not seen in model training, is also realized with iEmoTTS. Extensive experiments of subjective evaluation have been carried out. The results demonstrate the effectiveness of iEmoTTS compared with other recently proposed systems of cross-speaker emotion transfer. It is shown that iEmoTTS can produce speech with designated emotion types and controllable emotion intensity. With appropriate information bottleneck capacity, iEmoTTS is able to transfer emotional information to a new speaker effectively. Audio samples are publicly available.  © 2014 IEEE.",cross-speaker; emotion intensity; Emotion transfer; prosody; timbre; zero-shot,Human computer interaction; Signal encoding; Speech recognition; Speech synthesis; Zero-shot learning; Cross-speaker; Emotion intensity; Emotion transfer; Features extraction; Hidden-Markov models; Labelings; Prosody; Timbre; Zero-shot; Hidden Markov models,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85153801516
Pavón-Pulido N.; Blasco-García J.D.; López-Riquelme J.A.; Feliu-Batlle J.; Oterino-Bono R.; Herrero M.T.,"Pavón-Pulido, Nieves (27267775600); Blasco-García, Jesús Damián (57904524900); López-Riquelme, Juan Antonio (58204487000); Feliu-Batlle, Jorge (6603060313); Oterino-Bono, Roberto (57904524800); Herrero, María Trinidad (59157654800)",27267775600; 57904524900; 58204487000; 6603060313; 57904524800; 59157654800,JUNO Project: Deployment and Validation of a Low-Cost Cloud-Based Robotic Platform for Reliable Smart Navigation and Natural Interaction with Humans in an Elderly Institution,2023,Sensors,23,1,483,,,,1,10.3390/s23010483,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145971097&doi=10.3390%2fs23010483&partnerID=40&md5=49e3bc56cd7b689373535dafb6289d4e,"This paper describes the main results of the JUNO project, a proof of concept developed in the Region of Murcia in Spain, where a smart assistant robot with capabilities for smart navigation and natural human interaction has been developed and deployed, and it is being validated in an elderly institution with real elderly users. The robot is focused on helping people carry out cognitive stimulation exercises and other entertainment activities since it can detect and recognize people, safely navigate through the residence, and acquire information about attention while users are doing the mentioned exercises. All the information could be shared through the Cloud, if needed, and health professionals, caregivers and relatives could access such information by considering the highest standards of privacy required in these environments. Several tests have been performed to validate the system, which combines classic techniques and new Deep Learning-based methods to carry out the requested tasks, including semantic navigation, face detection and recognition, speech to text and text to speech translation, and natural language processing, working both in a local and Cloud-based environment, obtaining an economically affordable system. The paper also discusses the limitations of the platform and proposes several solutions to the detected drawbacks in this kind of complex environment, where the fragility of users should be also considered. © 2023 by the authors.",autonomous navigation; digital transformation of health systems; human–robot natural interaction; smart assistant robots,Character recognition; Costs; Deep learning; Face recognition; Human robot interaction; Natural language processing systems; Semantics; Speech recognition; Assistant robot; Autonomous navigation; Cloud-based; Digital transformation; Digital transformation of health system; Health systems; Human robots; Human–robot natural interaction; Natural interactions; Smart assistant robot; Navigation,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85145971097
Srivastava B.M.L.; Maouche M.; Sahidullah M.; Vincent E.; Bellet A.; Tommasi M.; Tomashenko N.; Wang X.; Yamagishi J.,"Srivastava, Brij Mohan Lal (57191375068); Maouche, Mohamed (57203225403); Sahidullah, Md (58802043400); Vincent, Emmanuel (14010158800); Bellet, Aurelien (35490138400); Tommasi, Marc (57206488975); Tomashenko, Natalia (55900552200); Wang, Xin (57196088126); Yamagishi, Junichi (7004695833)",57191375068; 57203225403; 58802043400; 14010158800; 35490138400; 57206488975; 55900552200; 57196088126; 7004695833,Privacy and Utility of X-Vector Based Speaker Anonymization,2022,IEEE/ACM Transactions on Audio Speech and Language Processing,30,,,2383,2395,12,17,10.1109/TASLP.2022.3190741,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134333880&doi=10.1109%2fTASLP.2022.3190741&partnerID=40&md5=7713b22e4910c1fdd9d5df025628342b,"We study the scenario where individuals (speakers) contribute to the publication of an anonymized speech corpus. Data users leverage this public corpus for downstream tasks, e.g., training an automatic speech recognition (ASR) system, while attackers may attempt to de-anonymize it using auxiliary knowledge. Motivated by this scenario, speaker anonymization aims to conceal speaker identity while preserving the quality and usefulness of speech data. In this article, we study x-vector based speaker anonymization, the leading approach in the VoicePrivacy Challenge, which converts the speaker's voice into that of a random pseudo-speaker. We show that the strength of anonymization varies significantly depending on how the pseudo-speaker is chosen. We explore four design choices for this step: the distance metric between speakers, the region of speaker space where the pseudo-speaker is picked, its gender, and whether to assign it to one or all utterances of the original speaker. We assess the quality of anonymization from the perspective of the three actors involved in our threat model, namely the speaker, the user and the attacker. To measure privacy and utility, we use respectively the linkability score achieved by the attackers and the decoding word error rate achieved by an ASR model trained on the anonymized data. Experiments on LibriSpeech show that the best combination of design choices yields state-of-the-art performance in terms of both privacy and utility. Experiments on Mozilla Common Voice further show that it guarantees the same anonymization level against re-identification attacks among 50 speakers as original speech among 20,000 speakers. © 2014 IEEE.",Linkability; privacy; speaker anonymization; voice conversion,Knowledge management; Anonymization; Automatic speech recognition system; Down-stream; Linkability; Privacy; Pseudo speakers; Speaker anonymization; Speech corpora; Speech data; Voice conversion; Speech recognition,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85134333880
Salvi D.; Hosler B.; Bestagini P.; Stamm M.C.; Tubaro S.,"Salvi, Davide (57222181353); Hosler, Brian (56825704000); Bestagini, Paolo (21638596100); Stamm, Matthew C. (34870520200); Tubaro, Stefano (7003411765)",57222181353; 56825704000; 21638596100; 34870520200; 7003411765,TIMIT-TTS: A Text-to-Speech Dataset for Multimodal Synthetic Media Detection,2023,IEEE Access,11,,,50851,50866,15,20,10.1109/ACCESS.2023.3276480,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160220716&doi=10.1109%2fACCESS.2023.3276480&partnerID=40&md5=c17fd54a46b59cc3d95bde6da0cd1b22,"With the rapid development of deep learning techniques, the generation and counterfeiting of multimedia material has become increasingly simple. Current technology enables the creation of videos where both the visual and audio contents are falsified. While the multimedia forensics community has begun to address this threat by developing fake media detectors. However, the vast majority existing forensic techniques only analyze one modality at a time. This is an important limitation when authenticating manipulated videos, because sophisticated forgeries may be difficult to detect without exploiting cross-modal inconsistencies (e.g., across the audio and visual tracks). One important reason for the lack of multimodal detectors is a similar lack of research datasets containing multimodal forgeries. Existing datasets typically contain only one falsified modality, such as deepfaked videos with authentic audio tracks, or synthetic audio with no associated video. Currently, datasets are needed that can be used to develop, train, and test these forensic algorithms. In this paper, we propose a new audio-visual deepfake dataset containing multimodal video forgeries. We present a general pipeline for synthesizing deepfake speech content from a given video, facilitating the creation of counterfeit multimodal material. The proposed method uses Text-to-Speech (TTS) and Dynamic Time Warping (DTW) techniques to achieve realistic speech tracks. We use this pipeline to generate and release TIMIT-TTS, a synthetic speech dataset containing the most cutting-edge methods in the TTS field. This can be used as a standalone audio dataset, or combined with DeepfakeTIMIT and VidTIMIT video datasets to perform multimodal research. Finally, we present numerous experiments to benchmark the proposed dataset in both monomodal (i.e., audio) and multimodal (i.e., audio and video) conditions. This highlights the need for multimodal forensic detectors and more multimodal deepfake data.  © 2013 IEEE.",Audio; deepfake; forensics; multimodal; synthetic speech; text-to-speech; TIMIT,Audio acoustics; Deep learning; Digital forensics; Pipelines; Speech recognition; Speech synthesis; Audio; Deepfake; Forensic; Medium; Multi-modal; Synthetic speech; Text to speech; TIMIT; Audio systems,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85160220716
Zhang L.; Wang X.; Cooper E.; Evans N.; Yamagishi J.,"Zhang, Lin (57223708730); Wang, Xin (57196088126); Cooper, Erica (57220570427); Evans, Nicholas (56207371100); Yamagishi, Junichi (7004695833)",57223708730; 57196088126; 57220570427; 56207371100; 7004695833,The PartialSpoof Database and Countermeasures for the Detection of Short Fake Speech Segments Embedded in an Utterance,2023,IEEE/ACM Transactions on Audio Speech and Language Processing,31,,,813,825,12,40,10.1109/TASLP.2022.3233236,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147227031&doi=10.1109%2fTASLP.2022.3233236&partnerID=40&md5=71a554f2407e6ff43faa71cb5f94fbd8,"Automatic speaker verification is susceptible to various manipulations and spoofing, such as text-to-speech synthesis, voice conversion, replay, tampering, adversarial attacks, and so on. We consider a new spoofing scenario called 'Partial Spoof' (PS) in which synthesized or transformed speech segments are embedded into a bona fide utterance. While existing countermeasures (CMs) can detect fully spoofed utterances, there is a need for their adaptation or extension to the PS scenario. We propose various improvements to construct a significantly more accurate CM that can detect and locate short-generated spoofed speech segments at finer temporal resolutions. First, we introduce newly developed self-supervised pre-trained models as enhanced feature extractors. Second, we extend our PartialSpoof database by adding segment labels for various temporal resolutions. Since the short spoofed speech segments to be embedded by attackers are of variable length, six different temporal resolutions are considered, ranging from as short as 20 ms to as large as 640 ms. Third, we propose a new CM that enables the simultaneous use of the segment-level labels at different temporal resolutions as well as utterance-level labels to execute utterance- and segment-level detection at the same time. We also show that the proposed CM is capable of detecting spoofing at the utterance level with low error rates in the PS scenario as well as in a related logical access (LA) scenario. The equal error rates of utterance-level detection on the PartialSpoof database and ASVspoof 2019 LA database were 0.77 and 0.90%, respectively.  © 2014 IEEE.",Anti-spoofing; countermeasure; deepfake; PartialSpoof; self-supervised learning; spoof localization,Character recognition; Database systems; Feature extraction; Speech processing; Speech synthesis; Antispoofing; Countermeasure; Deepfake; Features extraction; Forgery; Localisation; Partialspoof; Self-supervised learning; Splicing; Spoof localization; Speech recognition,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85147227031
Kąkol K.; Korvel G.; Tamulevičius G.; Kostek B.,"Kąkol, Krzysztof (57193491284); Korvel, Gražina (56719707600); Tamulevičius, Gintautas (36562459300); Kostek, Bożena (6603685068)",57193491284; 56719707600; 36562459300; 6603685068,Detecting Lombard Speech Using Deep Learning Approach,2023,Sensors,23,1,315,,,,2,10.3390/s23010315,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145874079&doi=10.3390%2fs23010315&partnerID=40&md5=22a9d50c99446acac404f53dac4c7d50,"Robust Lombard speech-in-noise detecting is challenging. This study proposes a strategy to detect Lombard speech using a machine learning approach for applications such as public address systems that work in near real time. The paper starts with the background concerning the Lombard effect. Then, assumptions of the work performed for Lombard speech detection are outlined. The framework proposed combines convolutional neural networks (CNNs) and various two-dimensional (2D) speech signal representations. To reduce the computational cost and not resign from the 2D representation-based approach, a strategy for threshold-based averaging of the Lombard effect detection results is introduced. The pseudocode of the averaging process is also included. A series of experiments are performed to determine the most effective network structure and the 2D speech signal representation. Investigations are carried out on German and Polish recordings containing Lombard speech. All 2D signal speech representations are tested with and without augmentation. Augmentation means using the alpha channel to store additional data: gender of the speaker, F0 frequency, and first two MFCCs. The experimental results show that Lombard and neutral speech recordings can clearly be discerned, which is done with high detection accuracy. It is also demonstrated that the proposed speech detection process is capable of working in near real-time. These are the key contributions of this work. © 2022 by the authors.",2D feature representations; Lombard speech; machine learning; speech recognition; threshold-based averaging strategy,Deep Learning; Language; Noise; Speech; Speech Perception; Audio recordings; Convolutional neural networks; Deep learning; Learning systems; Real time systems; Speech communication; 2d feature representation; Feature representation; Lombard effects; Lombard speech; Machine-learning; Near-real time; Signal representations; Speech detection; Speech signals; Threshold-based averaging strategy; language; noise; speech; speech perception; Speech recognition,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85145874079
Gonzalez P.; Alstrom T.S.; May T.,"Gonzalez, Philippe (58090954300); Alstrom, Tommy Sonne (36117621200); May, Tobias (36545114400)",58090954300; 36117621200; 36545114400,Assessing the Generalization Gap of Learning-Based Speech Enhancement Systems in Noisy and Reverberant Environments,2023,IEEE/ACM Transactions on Audio Speech and Language Processing,31,,,3390,3403,13,11,10.1109/TASLP.2023.3318965,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173394588&doi=10.1109%2fTASLP.2023.3318965&partnerID=40&md5=9c386fe5c3000c52dd18d5354ac7833d,"The acoustic variability of noisy and reverberant speech mixtures is influenced by multiple factors, such as the spectro-temporal characteristics of the target speaker and the interfering noise, the signal-to-noise ratio (SNR) and the room characteristics. This large variability poses a major challenge for learning-based speech enhancement systems, since a mismatch between the training and testing conditions can substantially reduce the performance of the system. Generalization to unseen conditions is typically assessed by testing the system with a new speech, noise or binaural room impulse response (BRIR) database different from the one used during training. However, the difficulty of the speech enhancement task can change across databases, which can substantially influence the results. The present study introduces a generalization assessment framework that uses a reference model trained on the test condition, such that it can be used as a proxy for the difficulty of the test condition. This allows to disentangle the effect of the change in task difficulty from the effect of dealing with new data, and thus to define a new measure of generalization performance termed the generalization gap. The procedure is repeated in a cross-validation fashion by cycling through multiple speech, noise, and BRIR databases to accurately estimate the generalization gap. The proposed framework is applied to evaluate the generalization potential of a feedforward neural network (FFNN), Conv-TasNet, DCCRN and MANNER. We find that for all models, the performance degrades the most in speech mismatches, while good noise and room generalization can be achieved by training on multiple databases. Moreover, while recent models show higher performance in matched conditions, their performance substantially decreases in mismatched conditions and can become inferior to that of the FFNN-based system.  © 2014 IEEE.",deep neural networks; generalization; Speech enhancement,Acoustic noise; Architectural acoustics; Database systems; Feedforward neural networks; Impulse response; Personnel training; Reverberation; Signal to noise ratio; Speech enhancement; Speech recognition; Binaural room impulse response; Condition; Generalisation; Noise measurements; Noisy environment; Performance; Response database; Speech enhancement system; Task analysis; Test condition; Deep neural networks,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85173394588
Adoptante A.J.M.; Baes A.M.; Catilo J.C.A.; Lucero P.K.L.; De Ocampo A.L.P.; Alon A.S.; Dellosa R.M.,"Adoptante, Aunhel John M. (57576420100); Baes, Arnie M. (57575142800); Catilo, John Carlo A. (57575359100); Lucero, Patrick Kendrex L. (57575778700); De Ocampo, Anton Louise P. (57202279546); Alon, Alvin S. (57212308862); Dellosa, Rhowel M. (57205327105)",57576420100; 57575142800; 57575359100; 57575778700; 57202279546; 57212308862; 57205327105,Spoken-Digit Classification using Artificial Neural Network,2023,ASEAN Engineering Journal,13,1,,93,99,6,1,10.11113/aej.V13.18388,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152118928&doi=10.11113%2faej.V13.18388&partnerID=40&md5=9d7c0a261945fd9a276cba23bc671c12,"Audio classification has been one of the most popular applications of Artificial Neural Networks. This process is at the center of modern AI technology, such as virtual assistants, automatic speech recognition, and text-to-speech applications. There have been studies about spoken digit classification and its applications. However, to the best of the author's knowledge, very few works focusing on English spoken digit recognition that implemented ANN classification have been done. In this study, the authors utilized the Mel-Frequency Cepstral Coefficients (MFCC) features of the audio recording and Artificial Neural Network (ANN) as the classifier to recognize the spoken digit by the speaker. The Audio MNIST dataset was used as training and test data while the Free-Spoken Digit Dataset was used as additional validation data. The model showed an F-1 score of 99.56% accuracy for the test data and an F1 score of 81.92% accuracy for the validation data. © 2023 Penerbit UTM Press. All rights reserved.",artificial neural networks; MFCC; signal processing; speech recognition,,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85152118928
